"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"EC",1,416,1172.92189903846,5515.46242448685,0,94.6721856287425,0,0,53000,53000,7.29951791409006,58.5326825197767,270.41779354756
"TA",2,416,14.6025721153846,17.4250765808994,0,12.4035928143713,0,0,96,96,1.30801606089247,3.01322872761355,0.854334668383218
"TW",3,416,18.8060096153846,28.0178271551577,0,13.2679640718563,0,0,115,115,1.37236718430356,1.05220770317794,1.3736869941598
"Q",4,416,1.5869022435903,13.2906287092713,0,0.0133273453100798,0,0,240,240,14.754380989936,249.853183641315,0.651626684004718
"Elv",5,416,460.519230769231,716.151360198124,0,316.763473053892,0,0,3152,3152,1.66043258749584,2.45005170700048,35.1122092340024
"SiO2",6,416,44.4454567307692,106.340032513497,0,24.1147604790419,0,0,1490,1490,7.20300097248004,83.6186951531171,5.21374904675397
"SiO4",7,416,0.346298076923077,4.14539858098994,0,0,0,0,78.92,78.92,16.8994607058583,309.609348504432,0.203244887077765
"Al",8,416,0.636370192307692,7.84845886475708,0,0,0,0,150.83,150.83,17.240181788138,320.837592906656,0.384802354836795
"Fe",9,416,1.62365384615385,10.2874116711609,0,0.0408682634730539,0,0,168.4,168.4,12.3387205249514,179.781399097587,0.504381854380879
"Ca",10,416,56.0909615384615,149.273826929915,0,24.702754491018,0,0,1990,1990,7.21386685825751,74.9519816398218,7.31875150369526
"Mg",11,416,20.9739423076923,47.8565460500698,1.84,10.8095808383234,2.727984,0,466.56,466.56,5.80137792320983,45.0729357736916,2.34636021310055
"Na",12,416,242.266634615385,874.789840327087,6.18,51.348502994012,9.162468,0,10000,10000,7.45361599641375,69.9765932563558,42.8901006357744
"K",13,416,23.2095673076923,81.0277473599135,1.145,7.90508982035928,1.697577,0,1260,1260,10.0304586682534,134.672289149646,3.97271216279486
"Li",14,416,1.44706947115385,5.46254417109924,0,0.0818889221556886,0,0,48,48,4.6943531986359,24.228568305152,0.2678232627144
"NH3",15,416,0.0381971153846154,0.357963274136067,0,0,0,0,5.76,5.76,11.9799513879182,166.89730056126,0.0175505934612439
"Cl",16,415,475.027927710843,1584.99413307302,4.04,114.030510510511,5.989704,0,20000,20000,7.46635324967561,74.6463659364463,77.8043019511812
"SO4",17,415,213.599469879518,823.231595623644,0.5,85.0553453453453,0.7413,0,14402.5,14402.5,13.1291607892406,213.28682453352,40.4108496713937
"HCO3",18,415,156.254963855422,329.531779329189,0,72.1531831831832,0,0,1839.33,1839.33,3.04069632001037,9.73087554573291,16.1760788424679
"H2S",19,416,0.0181009615384615,0.369188624397631,0,0,0,0,7.53,7.53,20.2492266695261,409.014405741494,0.0181009615384615
"B",20,416,26.3273461538462,190.867629832825,0,0.101335329341317,0,0,2757,2757,9.78420274322903,113.653987896979,9.35805547144981
"Al3.",21,416,2.54403846153846,28.3324729618411,0,0,0,0,460.8,460.8,13.9239771011605,203.677265000977,1.38911377404584
"As3.",22,416,0.0402900240384615,0.193983169938831,0,0.00012559880239521,0,0,1.9,1.9,6.02497551564733,40.0886079583438,0.00951080739256429
"NH4.",23,416,0.689536057692308,5.34450759697452,0,0.0675209580838323,0,0,94.2,94.2,14.779979742341,239.045850853007,0.262036043533827
"CO3.",24,404,5.72784653465347,38.1672595727218,0,0,0,0,656,656,13.1599978280919,209.15610500599,1.89889213616282
"F",25,413,0.513416464891041,1.35591781902933,0,0.207679758308157,0,0,15,15,5.74062530746583,45.2135901727013,0.0667203540637735
"Br",26,393,0.43972010178117,3.58709132252735,0,0,0,0,59.2,59.2,12.5875736457625,187.304704207503,0.180944821388048
"NO3",27,413,0.209200968523002,1.37178789537668,0,0.00217522658610272,0,0,24.7,24.7,14.3430086041097,244.781061151641,0.067501269468862
"PO42.",28,416,0.00149038461538462,0.0236274274733484,0,0,0,0,0.47,0.47,18.9044884335763,369.197363533745,0.00115842993983271
"H2S.1",29,415,0.221253012048193,1.91582208766343,0,0,0,0,28.5,28.5,11.2424635095568,140.764302476343,0.0940440075347844
"pH",30,415,4.44865060240964,4.89480229213354,3.54,4.21990990990991,4.091976,0,80.8,80.8,9.29435234249997,140.59663749026,0.240276394455869
